--- 1-500 ---
บริ
มารถ
สมัย
แสดง
ตลอด
ชนิด
พุทธ
คณะ
สถาน
เสมอ
มนุษย์
ภูมิ
เศรษฐ
ขนาด
ขณะ
ถนน
ตรวจ
พนัก
ตลาด
ผลิต
มหา
ทหาร
ปฏิ
คดี
กรรม
บัติ
ษัท
--- 501-1000 ---
ตลาด
ผลิต
ศาสนา
อนุ
ราณ
สถา
ษณะ
ขนม
จารย์
สมา
สภาพ
เจริญ
ธนา
วัฒน
แหน่ง
สิทธิ์
--- 1001-1500 ---
ฝรั่ง   (ฟะ-หลัง)
แมลง    (แม-แลง)
อัตรา   (อัด-ตะ-รา)
พลัง    (พะ-ลัง)
บรม     (บอ-รม)
สมุด    (สะ-หมุด)
ขบวน   (ขะ-บวน)
สนิท    (สะ-นิด)
สติ     (สะ-ติ)
เสด็จ   (สะ-เด็ด)
ขโมย   (ขะ-โมย)
พม่า    (พะ-ม่า)
ชรา     (ชะ-รา)
พยาน   (พะ-ยาน)
นโย     (นะ-โย)  
สว่าง   (สะ-ว่าง)
อร่อย   (อะ-หร่อย)
จมูก    (จะ-หมูก)
ฉลาด   (ฉะ-ลาด)
ถนัด    (ถะ-นัด)
ตลก    (ตะ-หลก)
--- 1501-2000 ---
สนาน   (sa–nan)
มติ     (ma–ti)
สรุป    (sa–rup)
ขยะ     (kha–ya)
ปฐม    (pa–thom)
สนอง   (sa–nong)
ญัติ    (ยัติ, often pronounced yan–ti)
สมุทร   (sa–mut)
ปริญ    (pa–rin)
มนุษย   (incomplete form of “มนุษย์”)
เมล็ด   (ma–let)
เฉลี่ย   (cha–lìa / cha–lì–ya)
พนัน    (pha–nan)
ขนาน   (kha–nan)
สลาย   (sa–lăy)
แถลง   (tha–læ̌ng)
เสมือน  (sa–mʉ̌an)
ฉลอง   (cha–lɔ̌ng)
เผชิญ  (pha–chəən)
สกุล   (sa–kun)
สมร     (sa–mɔ̄n)
อยุธ    (incomplete; from “อยุธยา”)
ทุจริต  (thút–cha–rìt)
ปรารถ  (often part of “ปรารถนา,” pra–rat–tha–na)
--- 2001-2500 ---
มาตรา   (maa–traa)
วัตร    (wat–tra)
วุฒิ    (wu–thi)
สวัส    (likely from “สวัสดิ์/สวัสดี”)
กฤติ    (krít–ti)
ขยับ   (kha–yáp)
สงวน   (sa–nguăn)
จรรย์  (likely from “จรรยา”)
นว      (often a clipped form, e.g. “นวัตกรรม”)
